ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global"
15,simple,,"Men Navy Blue Blazer",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.",,,taxable,,1,,,0,0,,,,,1,,24.99,29,"Men > Blazer",,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/blazer-1-1.jpg,,,,,,,,,0,Color,"Navy Blue",1,1,,,,
24,simple,,"Unisex Raybans Sunglasses",1,0,visible,"Sunglasses are a popular accessory for both men and women. We offer a wide variety of styles to suit your taste. Whether you're looking for a casual style, a sporty style, or a more formal style, we have something for you. Our sunglasses are made from the highest quality materials and will last for years.","<strong>Integer bibendum mattis euismod. Vestibulum sit amet magna diam</strong>.\n<ul>\n 	<li>Vivamus feugiat porta sagittis. Donec vel malesuada dolor,</li>\n 	<li>in vestibulum eros. Duis pharetra imperdiet augue. Praesent elementum faucibus egestas.</li>\n 	<li>In ipsum purus, placerat ac hendrerit sagittis, volutpat vel risus.</li>\n 	<li>Mauris vitae facilisis lacus, sit amet semper sem.</li>\n 	<li>Aenean turpis nulla, iaculis id orci vitae, pellentesque maximus mauris. Curabitur a maximus enim, ut mollis risus.</li>\n 	<li>Fusce fermentum velit sit amet pulvinar semper. Aliquam facilisis ipsum nec gravida bibendum.</li>\n 	<li>Mauris at mattis velit, a luctus elit. Fusce quis dignissim est, vel blandit turpis.</li>\n</ul>",,,taxable,,1,,,0,0,,,,,1,,79,99,"Accessories > Glasses",,,"https://selleradise.redoxbird.com/wp-content/uploads/2021/12/glasses-2-1.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/glasses-2-2.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/glasses-2-3.jpg",,,,,,,,,0,,,,,,,,
34,variable,SL34,"Casual Top For Women",1,0,visible,"If you're looking for a sleek, low-profile option for your next night out, you're in luck. The light and stretchy fabrics on this fitted shirt will keep you cool and comfortable while you enjoy the night. Pair it with a sleek, fitted skirt and a pair of stylish heels to make a statement.","<strong>Integer bibendum mattis euismod. Vestibulum sit amet magna diam</strong>.\n<ul>\n 	<li>Vivamus feugiat porta sagittis. Donec vel malesuada dolor,</li>\n 	<li>in vestibulum eros. Duis pharetra imperdiet augue. Praesent elementum faucibus egestas.</li>\n 	<li>In ipsum purus, placerat ac hendrerit sagittis, volutpat vel risus.</li>\n 	<li>Mauris vitae facilisis lacus, sit amet semper sem.</li>\n 	<li>Aenean turpis nulla, iaculis id orci vitae, pellentesque maximus mauris. Curabitur a maximus enim, ut mollis risus.</li>\n 	<li>Fusce fermentum velit sit amet pulvinar semper. Aliquam facilisis ipsum nec gravida bibendum.</li>\n 	<li>Mauris at mattis velit, a luctus elit. Fusce quis dignissim est, vel blandit turpis.</li>\n</ul>",,,taxable,,1,,,0,0,,,,,1,,,,"Women > Tops",,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-1-1.jpg,,,,,,,,,0,Color,"Maroon, Off-white",1,1,Size,"L, M, S, XL",1,1
3663,simple,,"Handbag For Women",1,0,visible,"This is a sturdy, high-quality handbag with a smooth, faux leather exterior. The lining is light blue and it features two large, open pockets on the front. There is also a zipper pocket on the back, and an interior pocket on the inside. This bag is perfect for the professional woman who needs to carry a laptop and a few files.","This is a sturdy, high-quality handbag with a smooth, faux leather exterior. The lining is light blue and it features two large, open pockets on the front. There is also a zipper pocket on the back and an interior pocket on the inside. This bag is perfect for the professional woman who needs to carry a laptop and a few files.",,,taxable,,1,,,0,0,,,,,1,,,59,"Women > Bags",,,"https://selleradise.redoxbird.com/wp-content/uploads/2021/12/bag-3-1.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/bag-3-2.jpg",,,,,,,,,0,,,,,,,,
3674,simple,,"Brown Leather Shoes",1,0,visible,"Just because you're an athlete doesn't mean you can't also be stylish. Whether you're on the field or off, these shoes will keep you looking and feeling your best. They're durable and functional, with a water-resistant upper and a grippy outsole. The breathable mesh lining and comfortable foam insole will keep your feet feeling fresh and dry, even on the hottest days. Your feet deserve the best, so don't settle for anything less than these great shoes.","Just because you're an athlete doesn't mean you can't also be stylish. Whether you're on the field or off, these shoes will keep you looking and feeling your best. They're durable and functional, with a water-resistant upper and a grippy outsole. The breathable mesh lining and comfortable foam insole will keep your feet feeling fresh and dry, even on the hottest days. Your feet deserve the best, so don't settle for anything less than these great shoes.",,,taxable,,1,,,0,0,,,,,1,,,59,"Accessories > Shoes",,,"https://selleradise.redoxbird.com/wp-content/uploads/2021/12/shoe-2-3.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/shoe-2-4.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/shoe-2-3.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/shoe-2-1.jpg",,,,,,,,,0,,,,,,,,
3683,simple,,"Country Hat",1,0,visible,"A cowboy hat is a hat that is usually worn by men in the Western United States. The cowboy hat is usually made of felt and typically has a crease in the crown. The brim is usually turned up in the front, to form a slight brim. The cowboy hat was originally made from animal fur, straw, or cloth.","A cowboy hat is a hat that is usually worn by men in the Western United States. The cowboy hat is usually made of felt and typically has a crease in the crown. The brim is usually turned up in the front, to form a slight brim. The cowboy hat was originally made from animal fur, straw, or cloth.",,,taxable,,1,,,0,0,,,,,1,,,99,"Accessories > Hat",,,"https://selleradise.redoxbird.com/wp-content/uploads/2021/12/hat-1-1.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/hat-1-2.jpg",,,,,,,,,0,,,,,,,,
3768,simple,,"Brown Formal Shoes",1,0,visible,"The LIVETTERS are shoes for people who are always on the go. The soles are made of a thick, cushiony material that will absorb the shock of each step, while the thick, durable fabric on the upper part of the shoe will keep the wearer's feet warm in the winter and cool in the summer. The LIVETTERS come in three colors, with two designs to choose from.","The LIVETTERS are shoes for people who are always on the go. The soles are made of a thick, cushiony material that will absorb the shock of each step, while the thick, durable fabric on the upper part of the shoe will keep the wearer's feet warm in the winter and cool in the summer. The LIVETTERS come in three colors, with two designs to choose from.",,,taxable,,1,,,0,0,,,,,1,,,49,"Men > Shoes",leather,,"https://selleradise.redoxbird.com/wp-content/uploads/2021/12/shoe-3-1.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/shoe-3-2.jpg",,,,,,,,,0,,,,,,,,
3787,simple,,"Blue Tie",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.",,,taxable,,1,,,0,0,,,,,1,,15,19,"Men > Tie",,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/tie-1.jpg,,,,,,,,,0,,,,,,,,
3789,simple,,"Brown Leather Belt",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.",,,taxable,,1,,,0,0,,,,,1,,17,19,"Men > Belt",leather,,"https://selleradise.redoxbird.com/wp-content/uploads/2021/12/belt-1.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/man-suit-leather-male-brown-fashion-857420.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/man-suit-leather-male-brown-fashion-857417.jpg",,,,,,,,,0,,,,,,,,
3796,variation,SL34-LMRN,"Casual Top For Women - Maroon, L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-1-1.jpg,,,SL34,,,,,,1,Color,Maroon,,1,Size,L,,1
3797,variation,SL34-MMRN,"Casual Top For Women - Maroon, M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-1-1.jpg,,,SL34,,,,,,2,Color,Maroon,,1,Size,M,,1
3798,variation,SL34-SMRN,"Casual Top For Women - Maroon, S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-1-1.jpg,,,SL34,,,,,,3,Color,Maroon,,1,Size,S,,1
3799,variation,SL34-XLMRN,"Casual Top For Women - Maroon, XL",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-1-1.jpg,,,SL34,,,,,,4,Color,Maroon,,1,Size,XL,,1
3800,variation,SL34-LOFW,"Casual Top For Women - Off-white, L",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-2-1.jpg,,,SL34,,,,,,5,Color,Off-white,,1,Size,L,,1
3801,variation,SL34-MOFW,"Casual Top For Women - Off-white, M",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-2-1.jpg,,,SL34,,,,,,6,Color,Off-white,,1,Size,M,,1
3802,variation,SL34-SOFW,"Casual Top For Women - Off-white, S",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-2-1.jpg,,,SL34,,,,,,7,Color,Off-white,,1,Size,S,,1
3803,variation,SL34-XLOFW,"Casual Top For Women - Off-white, XL",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19,,,,https://selleradise.redoxbird.com/wp-content/uploads/2021/12/top-3-2-1.jpg,,,SL34,,,,,,8,Color,Off-white,,1,Size,XL,,1
3808,simple,,"Colorful Leather Handbag",1,0,visible,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed lorem justo, sollicitudin non ex sed, finibus eleifend mauris. Etiam sed mattis turpis, et blandit turpis. Nulla consectetur turpis sed ex consequat, at ultrices lacus rhoncus. In rutrum et urna id mattis. Suspendisse at iaculis urna. Vivamus molestie purus nec ex porta, consequat ultrices est gravida. Nullam vestibulum lobortis dolor vel convallis. Pellentesque quis bibendum mauris.",,,taxable,,1,,,0,0,,,,,1,,,29,"Women > Bags",,,"https://selleradise.redoxbird.com/wp-content/uploads/2021/12/bag-2-1.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/bag-2-2.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/bag-2-3.jpg, https://selleradise.redoxbird.com/wp-content/uploads/2021/12/bag-2-4.jpg",,,,,,,,,0,,,,,,,,
